Timestamp_Local,IP Address Byte a,IP Address Byte b,IP Address Byte c,IP Address Byte d,Gateway IP Address Byte a,Gateway IP Address Byte b,Gateway IP Address Byte c,Gateway IP Address Byte d,Subnet Mask Byte a,Subnet Mask Byte b,Subnet Mask Byte c,Subnet Mask Byte d,Physical Ethernet Port,CSP Keep Alive Interval
(units),,,,,,,,,,,,,,s
2026-05-12 09:47:49,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:48:19,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:48:50,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:49:20,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:49:51,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:50:21,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:50:51,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:51:21,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:51:52,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:52:22,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:52:52,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:53:23,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:53:53,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:54:24,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:54:54,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:55:24,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:55:55,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:56:25,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:56:55,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:57:26,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:57:56,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:58:27,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:58:57,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:59:27,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 09:59:58,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 10:00:28,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 10:00:59,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 10:01:29,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 10:01:59,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
2026-05-12 10:02:30,10.0,16.0,130.0,50.0,10.0,16.0,130.0,1.0,255.0,255.0,255.0,0.0,0.0,30.0
