Timestamp_UTC,IP,Index,Parameter_Name,Value,Unit
2026-05-11T18:04:55Z,10.16.130.50,1,Date,0/0/0,
2026-05-11T18:04:55Z,10.16.130.50,2,Time,0:00:00,
2026-05-11T18:04:55Z,10.16.130.50,3,Date of MIN,0/0/0,
2026-05-11T18:04:55Z,10.16.130.50,4,Time of MIN,0:00:00,
2026-05-11T18:04:55Z,10.16.130.50,5,MIN Value For Parameter,0.0,
2026-05-11T18:04:55Z,10.16.130.50,6,Date of MAX,0/0/0,
2026-05-11T18:04:55Z,10.16.130.50,7,Time of MAX,0:00:00,
2026-05-11T18:04:55Z,10.16.130.50,8,MAX Value For Parameter,0.0,
2026-05-11T18:04:55Z,10.16.130.50,9,Number Of MIN_MAX Logs Requested,0,
2026-05-11T18:04:55Z,10.16.130.50,10,Number Of MIN_MAX Logs Recieved (Counter),0,
2026-05-11T18:04:55Z,10.16.130.50,11,Number Of MIN_MAX Log Being Returned,0,
2026-05-11T18:04:55Z,10.16.130.50,12,Internal Identifier,0,
2026-05-11T18:11:26Z,10.16.130.50,1,Date,0/0/0,
2026-05-11T18:11:26Z,10.16.130.50,2,Time,0:00:00,
2026-05-11T18:11:26Z,10.16.130.50,3,Date of MIN,0/0/0,
2026-05-11T18:11:26Z,10.16.130.50,4,Time of MIN,0:00:00,
2026-05-11T18:11:26Z,10.16.130.50,5,MIN Value For Parameter,0.0,
2026-05-11T18:11:26Z,10.16.130.50,6,Date of MAX,0/0/0,
2026-05-11T18:11:26Z,10.16.130.50,7,Time of MAX,0:00:00,
2026-05-11T18:11:26Z,10.16.130.50,8,MAX Value For Parameter,0.0,
2026-05-11T18:11:26Z,10.16.130.50,9,Number Of MIN_MAX Logs Requested,0,
2026-05-11T18:11:26Z,10.16.130.50,10,Number Of MIN_MAX Logs Recieved (Counter),0,
2026-05-11T18:11:26Z,10.16.130.50,11,Number Of MIN_MAX Log Being Returned,0,
2026-05-11T18:11:26Z,10.16.130.50,12,Internal Identifier,0,
