Timestamp_UTC,IP,Index,Parameter_Name,Value,Unit
2026-05-11T18:04:55Z,10.16.130.51,1,IP Address Byte a,10,
2026-05-11T18:04:55Z,10.16.130.51,2,IP Address Byte b,16,
2026-05-11T18:04:55Z,10.16.130.51,3,IP Address Byte c,130,
2026-05-11T18:04:55Z,10.16.130.51,4,IP Address Byte d,51,
2026-05-11T18:04:55Z,10.16.130.51,5,Gateway IP Address Byte a,10,
2026-05-11T18:04:55Z,10.16.130.51,6,Gateway IP Address Byte b,16,
2026-05-11T18:04:55Z,10.16.130.51,7,Gateway IP Address Byte c,130,
2026-05-11T18:04:55Z,10.16.130.51,8,Gateway IP Address Byte d,1,
2026-05-11T18:04:55Z,10.16.130.51,9,Subnet Mask Byte a,255,
2026-05-11T18:04:55Z,10.16.130.51,10,Subnet Mask Byte b,255,
2026-05-11T18:04:55Z,10.16.130.51,11,Subnet Mask Byte c,255,
2026-05-11T18:04:55Z,10.16.130.51,12,Subnet Mask Byte d,0,
2026-05-11T18:04:55Z,10.16.130.51,13,Physical Ethernet Port,0,
2026-05-11T18:04:55Z,10.16.130.51,14,CSP Keep Alive Interval,30,s
2026-05-11T18:04:55Z,10.16.130.51,21,Present Unit Password,####,
