Timestamp_Local,Voltage Mode,Voltage Scale-PT Primary,Voltage Scale-PT Secondary,Current Scale-CT Primary,Current Scale-CT Secondary,Analog Input Scale-PT Primary,Analog Input Scale-PT Secondary,I4 Neutral Current Scale-CT Primary,I4 Neutral Current Scale-CT Secondary,Demand Period Length,Number Of Demand Periods,Snapshot Interval-Hours,Snapshot Interval-Minutes,Snapshot Interval-Seconds,Snapshot Buffer Type,Output Pulse Relay #,Output Pulse Parameter,Output Pulse Increment,Output Pulse Width (ms),CH A 12 Cycle Oscillograph,CH B 12 Cycle Oscillograph,Oscillography Type,Number of Pretrigger Cycles,IEEE 519 Max. Short Circuit Current,IEEE 519 Max. Demand/Load Current,Save Status Changes To Event Log,Vaux Voltage Mode,Filter Mode,Enable Min_Max Log
(units),V,V,V,A,A,,,A,A,min,min,s,s,s,,,,,ms,,,,,A,A,,V,,
2026-05-12 09:47:49,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:48:19,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:48:50,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:49:20,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:49:51,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:50:21,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:50:51,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:51:21,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:51:52,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:52:22,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:52:52,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:53:23,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:53:53,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:54:24,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
2026-05-12 09:54:54,4.0,2399.999756,120.0,200.0,5.0,1.0,1.0,5.0,5.0,15.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
