Timestamp_Local,MIN Value For Parameter,MAX Value For Parameter,Number Of MIN_MAX Logs Requested,Number Of MIN_MAX Logs Recieved (Counter),Number Of MIN_MAX Log Being Returned,Internal Identifier
(units),,,,,,
2026-05-12 09:47:49,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:48:19,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:48:50,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:49:20,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:49:51,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:50:21,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:50:51,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:51:21,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:51:52,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:52:22,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:52:52,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:53:23,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:53:53,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:54:24,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:54:54,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:55:24,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:55:55,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:56:25,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:56:55,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:57:26,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:57:56,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:58:27,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:58:57,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:59:27,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 09:59:58,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 10:00:28,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 10:00:59,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 10:01:29,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 10:01:59,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 10:02:30,0.0,0.0,0.0,0.0,0.0,0.0
