2026-05-11T13:47:05 | INFO     | ABMonitor | Logger initialised — output: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\logs\ab_monitor.log
2026-05-11T13:47:05 | INFO     | ABMonitor | AB Power Meter Monitor starting up.
2026-05-11T13:47:05 | INFO     | ABMonitor | Configuration: {
  "ip_base": "10.16.130",
  "octet_start": 50,
  "octet_end": 53,
  "sample_period": 30,
  "enable_gui": 1,
  "enable_fits": 1,
  "enable_csv": 1,
  "enable_xlsx": 1,
  "enable_log_append": 1,
  "log_dir": "c:\\users\\wwallace\\onedrive - national radio astronomy observatory\\documents\\github\\gbo_maser_control\\ab_meter_output\\logs"
}
2026-05-11T13:47:27 | INFO     | ABMonitor | Polling device 10.16.130.50 …
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/0 — 2461 bytes
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Parsed table 'Device_Configuration_Table' — 31 rows
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Device_Configuration_Table
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/1 — 1351 bytes
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Parsed table 'Communications_Configuration_Table' — 15 rows
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Communications_Configuration_Table
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/2 — 1930 bytes
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Parsed table 'Voltage_Current_Table' — 24 rows
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Voltage_Current_Table
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/3 — 2102 bytes
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Parsed table 'Real_Time_Power_Table' — 26 rows
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Real_Time_Power_Table
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/4 — 925 bytes
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Parsed table 'Cumulative_Power_Table' — 8 rows
2026-05-11T13:47:28 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Cumulative_Power_Table
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/5 — 1747 bytes
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Parsed table 'Demand_Data_Table' — 18 rows
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Demand_Data_Table
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/6 — 2158 bytes
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Parsed table 'Diagnostic_Table' — 31 rows
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Diagnostic_Table
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/7 — 2129 bytes
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Parsed table 'Voltage_Current_Snapshot_Log_Table' — 27 rows
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Voltage_Current_Snapshot_Log_Table
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/8 — 2316 bytes
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Parsed table 'Power_Snapshot_Log_Table' — 30 rows
2026-05-11T13:47:29 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Power_Snapshot_Log_Table
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/9 — 1159 bytes
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Parsed table 'MinMax_Log_Table' — 12 rows
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_MinMax_Log_Table
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Fetched http://10.16.130.50/10 — 2158 bytes
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Parsed table 'Diagnostic_Table_Extended' — 31 rows
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.50_Diagnostic_Table_Extended
2026-05-11T13:47:30 | INFO     | ABMonitor | Polling device 10.16.130.51 …
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/0 — 2461 bytes
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Parsed table 'Device_Configuration_Table' — 31 rows
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Device_Configuration_Table
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/1 — 1351 bytes
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Parsed table 'Communications_Configuration_Table' — 15 rows
2026-05-11T13:47:30 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Communications_Configuration_Table
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/2 — 1931 bytes
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Parsed table 'Voltage_Current_Table' — 24 rows
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Voltage_Current_Table
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/3 — 2095 bytes
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Parsed table 'Real_Time_Power_Table' — 26 rows
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Real_Time_Power_Table
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/4 — 923 bytes
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Parsed table 'Cumulative_Power_Table' — 8 rows
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Cumulative_Power_Table
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/5 — 1738 bytes
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Parsed table 'Demand_Data_Table' — 18 rows
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Demand_Data_Table
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/6 — 2157 bytes
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Parsed table 'Diagnostic_Table' — 31 rows
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Diagnostic_Table
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/7 — 2129 bytes
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Parsed table 'Voltage_Current_Snapshot_Log_Table' — 27 rows
2026-05-11T13:47:31 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Voltage_Current_Snapshot_Log_Table
2026-05-11T13:47:32 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/8 — 2316 bytes
2026-05-11T13:47:32 | DEBUG    | ABMonitor | Parsed table 'Power_Snapshot_Log_Table' — 30 rows
2026-05-11T13:47:32 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Power_Snapshot_Log_Table
2026-05-11T13:47:32 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/9 — 1159 bytes
